customer_id,customer_segment,contract_type,region,tenure_months,monthly_revenue,support_tickets_last_90_days,late_payments_last_12_months,product_usage_score,satisfaction_score,last_login_days_ago,discount_percent,churn_probability,churned,annual_revenue,customer_lifetime_value,revenue_at_risk,usage_risk_flag,satisfaction_risk_flag,login_risk_flag,support_risk_flag,payment_risk_flag,total_risk_flags,risk_band
54,Enterprise,Annual,South,25,190.64,3,0,70.65,10,13,10,0.08,0,2287.68,4766,0,0,0,0,0,0,0,Low Risk
55,Small Business,Month to Month,West,12,93.51,5,1,58.09,9.2,116,0,0.48,1,1122.12,1122.12,1122.12,0,0,1,1,0,2,High Risk
56,Enterprise,Annual,South,50,268.25,1,1,74.68,4.5,16,10,0.16999999999999998,0,3219,13412.5,0,0,1,0,0,0,1,Low Risk
57,Enterprise,Annual,West,29,108.74,3,1,83.89,5.5,95,20,0.35,0,1304.88,3153.46,0,0,1,1,0,0,2,Moderate Risk
58,Small Business,Two Year,South,5,118.95,5,0,64.07,6,90,0,0.34,0,1427.4,594.75,0,0,0,1,1,0,2,Moderate Risk
59,Small Business,Annual,South,23,162.76,1,0,42.25,6.4,20,20,0.24,0,1953.12,3743.48,0,1,0,0,0,0,1,Moderate Risk
60,Mid Market,Month to Month,West,14,117.5,1,4,55.41,6,9,10,0.34,0,1410,1645,0,0,0,0,0,1,1,Moderate Risk
61,Enterprise,Annual,Northeast,37,259.79,2,0,61.91,8.4,104,0,0.14,0,3117.48,9612.23,0,0,0,1,0,0,1,Low Risk
62,Consumer,Two Year,South,1,117.85,2,2,84.83,7.9,118,5,0.24,0,1414.2,117.85,0,0,0,1,0,0,1,Moderate Risk
63,Enterprise,Annual,Northeast,39,178,0,1,74.55,6.1,119,10,0.14,0,2136,6942,0,0,0,1,0,0,1,Low Risk
64,Mid Market,Annual,West,9,327.15,4,0,68.36,8.4,103,0,0.42000000000000004,1,3925.8,2944.35,3925.8,0,0,1,1,0,2,High Risk
65,Enterprise,Month to Month,Northeast,32,138.74,2,2,56.75,7,63,5,0.38,0,1664.88,4439.68,0,0,0,1,0,0,1,Moderate Risk
66,Small Business,Annual,South,18,192.83,1,3,50.13,6.1,64,20,0.28,0,2313.96,3470.94,0,0,0,1,0,1,2,Moderate Risk
67,Small Business,Month to Month,Northeast,47,241.16,3,0,54.57,8.4,8,15,0.2,0,2893.92,11334.52,0,0,0,0,0,0,0,Moderate Risk
68,Enterprise,Month to Month,West,57,164.19,0,2,63.25,5.5,1,20,0.35000000000000003,0,1970.28,9358.83,0,0,1,0,0,0,1,Moderate Risk
69,Enterprise,Two Year,South,56,138.37,4,1,73.71,7.7,78,15,0.15999999999999998,1,1660.44,7748.72,1660.44,0,0,1,1,0,2,Low Risk
70,Small Business,Two Year,Northeast,14,171.53,1,1,71.31,9.4,47,0,0.12000000000000001,0,2058.36,2401.42,0,0,0,1,0,0,1,Low Risk
71,Small Business,Month to Month,West,55,205.17,1,4,46.22,6.1,24,10,0.28,1,2462.04,11284.35,2462.04,0,0,0,0,1,1,Moderate Risk
72,Small Business,Annual,South,38,128.05,2,2,90.1,4.8,87,5,0.29,1,1536.6,4865.9,1536.6,0,1,1,0,0,2,Moderate Risk
73,Small Business,Annual,West,47,144.53,2,2,91.98,6.2,74,20,0.14,0,1734.36,6792.91,0,0,0,1,0,0,1,Low Risk
74,Mid Market,Annual,Midwest,8,250.26,3,2,52.06,7.8,46,25,0.32,0,3003.12,2002.08,0,0,0,1,0,0,1,Moderate Risk
75,Small Business,Two Year,Midwest,49,106.46,0,1,54.93,7.5,56,15,0.06000000000000001,0,1277.52,5216.54,0,0,0,1,0,0,1,Low Risk
76,Enterprise,Month to Month,South,11,133.51,2,2,67.48,3.6,117,0,0.65,1,1602.12,1468.61,1602.12,0,1,1,0,0,2,Critical Risk
77,Small Business,Month to Month,West,57,218.75,2,1,57.27,6.4,57,0,0.32,0,2625,12468.75,0,0,0,1,0,0,1,Moderate Risk
78,Mid Market,Month to Month,South,59,53.37,1,1,91.71,10,36,10,0.2,0,640.44,3148.83,0,0,0,0,0,0,0,Moderate Risk
79,Mid Market,Annual,South,13,230.54,1,0,83.6,7.2,66,5,0.2,1,2766.48,2997.02,2766.48,0,0,1,0,0,1,Moderate Risk
80,Small Business,Annual,Midwest,30,163.64,2,0,82.33,6.4,120,10,0.2,0,1963.68,4909.2,0,0,0,1,0,0,1,Moderate Risk
81,Mid Market,Month to Month,West,71,152.26,3,2,79.97,7.8,74,15,0.32,0,1827.12,10810.46,0,0,0,1,0,0,1,Moderate Risk
82,Small Business,Month to Month,Northeast,1,85.69,6,5,80.71,8.2,100,0,0.6799999999999999,1,1028.28,85.69,1028.28,0,0,1,1,1,3,Critical Risk
83,Mid Market,Annual,Northeast,37,158.18,1,0,75.48,8.2,82,10,0.14,0,1898.16,5852.66,0,0,0,1,0,0,1,Low Risk
84,Mid Market,Month to Month,Midwest,47,318.92,1,2,71.09,7,52,25,0.32,0,3827.04,14989.24,0,0,0,1,0,0,1,Moderate Risk
85,Enterprise,Month to Month,West,19,250.18,3,2,95.06,8.7,73,0,0.38,0,3002.16,4753.42,0,0,0,1,0,0,1,Moderate Risk
86,Mid Market,Two Year,Northeast,4,114.45,1,0,56.28,6.1,69,5,0.24,0,1373.4,457.8,0,0,0,1,0,0,1,Moderate Risk
87,Small Business,Month to Month,Northeast,39,164.46,3,0,61.69,6.1,89,0,0.32,0,1973.52,6413.94,0,0,0,1,0,0,1,Moderate Risk
88,Small Business,Month to Month,Midwest,29,167.17,7,0,62.44,8.3,20,15,0.36,1,2006.04,4847.93,2006.04,0,0,0,1,0,1,Moderate Risk
89,Small Business,Two Year,South,6,189.94,4,0,94.44,7.8,13,0,0.22000000000000003,0,2279.28,1139.64,0,0,0,0,1,0,1,Moderate Risk
90,Small Business,Month to Month,West,29,131.4,4,1,77.42,7.8,77,0,0.48,1,1576.8,3810.6,1576.8,0,0,1,1,0,2,High Risk
91,Enterprise,Two Year,Northeast,13,184.49,2,0,48.8,3.5,21,15,0.14999999999999997,0,2213.88,2398.37,0,0,1,0,0,0,1,Low Risk
92,Small Business,Annual,Midwest,24,182.38,3,1,62.44,10,63,20,0.2,0,2188.56,4377.12,0,0,0,1,0,0,1,Moderate Risk
93,Small Business,Month to Month,South,24,25,4,1,100,6,30,10,0.36,0,300,600,0,0,0,0,1,0,1,Moderate Risk
94,Consumer,Annual,Midwest,50,265.21,2,1,96.43,7.7,18,20,0.020000000000000004,0,3182.52,13260.5,0,0,0,0,0,0,0,Low Risk
95,Consumer,Annual,West,54,201.24,2,1,43.14,7.7,81,0,0.3,0,2414.88,10866.96,0,1,0,1,0,0,2,Moderate Risk
96,Enterprise,Month to Month,West,15,65.3,0,1,65.1,7.7,38,15,0.26,0,783.6,979.5,0,0,0,0,0,0,0,Moderate Risk
97,Small Business,Two Year,West,69,199.55,0,1,92.27,6.6,2,0,0.02,0,2394.6,13768.95,0,0,0,0,0,0,0,Low Risk
98,Mid Market,Annual,South,23,262.95,6,1,75.92,4.8,53,0,0.44999999999999996,0,3155.4,6047.85,0,0,1,1,1,0,3,High Risk
99,Enterprise,Month to Month,West,60,232.92,3,5,81.61,6.5,16,10,0.28,1,2795.04,13975.2,2795.04,0,0,0,0,1,1,Moderate Risk
100,Mid Market,Month to Month,Northeast,58,196.47,2,1,65.85,6,4,10,0.2,0,2357.64,11395.26,0,0,0,0,0,0,0,Moderate Risk
101,Mid Market,Annual,South,57,173.77,6,3,89.32,9.7,96,10,0.32,0,2085.24,9904.89,0,0,0,1,1,1,3,Moderate Risk
102,Small Business,Month to Month,Midwest,63,137.69,3,0,74.14,7.5,110,0,0.32,0,1652.28,8674.47,0,0,0,1,0,0,1,Moderate Risk
103,Small Business,Annual,South,11,147.61,4,2,82.45,8.3,96,15,0.42000000000000004,0,1771.32,1623.71,0,0,0,1,1,0,2,High Risk
104,Mid Market,Annual,West,52,245.05,1,1,54.97,6,29,5,0.020000000000000004,0,2940.6,12742.6,0,0,0,0,0,0,0,Low Risk
105,Consumer,Month to Month,Northeast,44,240.03,1,1,52.77,6.2,79,0,0.32,1,2880.36,10561.32,2880.36,0,0,1,0,0,1,Moderate Risk
106,Consumer,Two Year,Midwest,70,116.32,4,0,56.64,5.4,61,0,0.30999999999999994,0,1395.84,8142.4,0,0,1,1,1,0,3,Moderate Risk
107,Enterprise,Annual,West,27,229.66,2,0,57.23,8.5,8,0,0.08,0,2755.92,6200.82,0,0,0,0,0,0,0,Low Risk
108,Enterprise,Month to Month,South,69,90.65,2,1,100,7,62,0,0.32,1,1087.8,6254.85,1087.8,0,0,1,0,0,1,Moderate Risk
109,Mid Market,Month to Month,West,42,229.96,2,3,73.21,9.1,100,20,0.4,1,2759.52,9658.32,2759.52,0,0,1,0,1,2,High Risk
110,Small Business,Month to Month,South,13,209.76,1,0,63.55,10,5,20,0.26,0,2517.12,2726.88,0,0,0,0,0,0,0,Moderate Risk
111,Mid Market,Annual,Midwest,66,248.29,0,1,43.57,7.1,107,25,0.3,0,2979.48,16387.14,0,1,0,1,0,0,2,Moderate Risk
112,Enterprise,Month to Month,South,29,162.08,2,1,76.66,8.7,55,20,0.38,1,1944.96,4700.32,1944.96,0,0,1,0,0,1,Moderate Risk
113,Enterprise,Month to Month,West,13,311.63,4,0,75.04,10,80,20,0.48,1,3739.56,4051.19,3739.56,0,0,1,1,0,2,High Risk
114,Mid Market,Annual,Northeast,14,143.72,4,0,80.86,6,89,0,0.3,0,1724.64,2012.08,0,0,0,1,1,0,2,Moderate Risk
115,Mid Market,Month to Month,West,9,182.91,0,0,49.77,9.5,109,0,0.5,1,2194.92,1646.19,2194.92,0,0,1,0,0,1,High Risk
116,Mid Market,Month to Month,Midwest,6,200.82,4,1,64.63,6.4,1,5,0.48,1,2409.84,1204.92,2409.84,0,0,0,1,0,1,High Risk
117,Small Business,Annual,Midwest,18,225.9,0,0,100,4.7,106,0,0.35,1,2710.8,4066.2,2710.8,0,1,1,0,0,2,Moderate Risk
118,Mid Market,Two Year,West,43,159.79,0,0,91.05,9.3,83,0,0.06000000000000001,0,1917.48,6870.97,0,0,0,1,0,0,1,Low Risk
119,Mid Market,Annual,Midwest,2,115.27,1,2,54.76,5.6,115,20,0.47,1,1383.24,230.54,1383.24,0,1,1,0,0,2,High Risk
120,Enterprise,Annual,South,69,180.89,2,2,71.56,7.6,73,0,0.14,0,2170.68,12481.41,0,0,0,1,0,0,1,Low Risk
121,Mid Market,Month to Month,Northeast,10,220.66,5,1,86.24,8.1,116,0,0.6,1,2647.92,2206.6,2647.92,0,0,1,1,0,2,Critical Risk
122,Mid Market,Month to Month,South,59,242.64,5,2,95.85,2.8,48,20,0.5700000000000001,0,2911.68,14315.76,0,0,1,1,1,0,3,High Risk
123,Mid Market,Annual,West,10,158.14,2,2,67.16,10,63,5,0.32,0,1897.68,1581.4,0,0,0,1,0,0,1,Moderate Risk
124,Mid Market,Annual,Northeast,35,189.67,3,0,70.85,5.2,8,10,0.22999999999999998,1,2276.04,6638.45,2276.04,0,1,0,0,0,1,Moderate Risk
125,Enterprise,Annual,Midwest,26,206.38,0,0,70.58,7.5,120,5,0.2,0,2476.56,5365.88,0,0,0,1,0,0,1,Moderate Risk
126,Mid Market,Month to Month,South,18,282.89,1,1,75.09,8.5,74,15,0.38,0,3394.68,5092.02,0,0,0,1,0,0,1,Moderate Risk
127,Consumer,Annual,South,21,121.49,1,0,77.44,10,32,15,0.08,0,1457.88,2551.29,0,0,0,0,0,0,0,Low Risk
128,Consumer,Month to Month,West,30,272.89,4,1,55.64,5.7,106,0,0.63,1,3274.68,8186.7,3274.68,0,1,1,1,0,3,Critical Risk
129,Small Business,Month to Month,Northeast,24,133.54,1,1,41.37,6,93,5,0.54,0,1602.48,3204.96,0,1,0,1,0,0,2,High Risk
130,Enterprise,Month to Month,South,11,173.55,3,0,100,5.3,0,0,0.53,1,2082.6,1909.05,2082.6,0,1,0,0,0,1,High Risk
131,Consumer,Month to Month,Northeast,7,182.76,3,0,58.04,7.4,30,20,0.38,0,2193.12,1279.32,0,0,0,0,0,0,0,Moderate Risk
132,Mid Market,Annual,West,32,197.38,0,2,64.62,6.3,98,15,0.2,0,2368.56,6316.16,0,0,0,1,0,0,1,Moderate Risk
133,Mid Market,Annual,West,31,247.76,3,0,61.34,5.8,88,10,0.35,1,2973.12,7680.56,2973.12,0,1,1,0,0,2,Moderate Risk
134,Consumer,Annual,Midwest,49,189.11,2,0,79.74,7,10,0,0.020000000000000004,0,2269.32,9266.39,0,0,0,0,0,0,0,Low Risk
135,Consumer,Month to Month,Northeast,71,168.08,3,0,75.31,9.8,84,20,0.32,0,2016.96,11933.68,0,0,0,1,0,0,1,Moderate Risk
136,Mid Market,Annual,Midwest,56,114.01,3,1,43.5,6.6,39,0,0.18,0,1368.12,6384.56,0,1,0,0,0,0,1,Low Risk
137,Enterprise,Annual,West,38,318.21,2,1,63.41,3.3,72,20,0.29,0,3818.52,12091.98,0,0,1,1,0,0,2,Moderate Risk
138,Small Business,Month to Month,South,48,199.97,0,2,43.13,7.4,53,5,0.48000000000000004,0,2399.64,9598.56,0,1,0,1,0,0,2,High Risk
139,Enterprise,Annual,Midwest,70,148.58,2,1,94.84,10,96,20,0.14,0,1782.96,10400.6,0,0,0,1,0,0,1,Low Risk
140,Mid Market,Annual,South,63,95.88,4,1,84.43,8.8,70,0,0.24,1,1150.56,6040.44,1150.56,0,0,1,1,0,2,Moderate Risk
141,Small Business,Month to Month,South,33,107.66,1,0,72.34,9.4,11,0,0.26,0,1291.92,3552.78,0,0,0,0,0,0,0,Moderate Risk
142,Small Business,Month to Month,South,2,280.88,3,2,71.96,7,33,5,0.38,1,3370.56,561.76,3370.56,0,0,0,0,0,0,Moderate Risk
143,Mid Market,Annual,West,58,139.02,1,1,34.67,6.8,12,0,0.18,1,1668.24,8063.16,1668.24,1,0,0,0,0,1,Low Risk
144,Enterprise,Annual,West,28,249.67,3,1,100,10,30,5,0.08,0,2996.04,6990.76,0,0,0,0,0,0,0,Low Risk
145,Enterprise,Annual,South,15,224.54,4,1,64.53,7.5,6,0,0.18,0,2694.48,3368.1,0,0,0,0,1,0,1,Low Risk
146,Enterprise,Month to Month,Midwest,68,246.71,2,3,84.43,9.2,36,0,0.28,1,2960.52,16776.28,2960.52,0,0,0,0,1,1,Moderate Risk
147,Small Business,Annual,South,36,203.02,3,3,72.86,7.1,16,15,0.16,0,2436.24,7308.72,0,0,0,0,0,1,1,Low Risk
148,Consumer,Month to Month,West,71,179.83,4,0,89.33,5.5,35,5,0.45,1,2157.96,12767.93,2157.96,0,1,0,1,0,2,High Risk
149,Small Business,Annual,Northeast,67,117.95,3,0,51.27,6.7,23,5,0.020000000000000004,0,1415.4,7902.65,0,0,0,0,0,0,0,Low Risk
150,Small Business,Month to Month,West,46,224.19,3,2,75.01,6.4,105,0,0.32,0,2690.28,10312.74,0,0,0,1,0,0,1,Moderate Risk
151,Enterprise,Month to Month,Northeast,14,208.64,0,0,78.61,9.5,30,5,0.26,1,2503.68,2920.96,2503.68,0,0,0,0,0,0,Moderate Risk
152,Small Business,Month to Month,Northeast,21,163.59,3,3,87.34,8.2,16,15,0.34,0,1963.08,3435.39,0,0,0,0,0,1,1,Moderate Risk
153,Enterprise,Month to Month,South,41,49.7,0,2,64.76,4.5,115,0,0.47000000000000003,0,596.4,2037.7,0,0,1,1,0,0,2,High Risk
154,Mid Market,Annual,West,49,73.85,2,2,59.2,5.8,75,0,0.29,1,886.2,3618.65,886.2,0,1,1,0,0,2,Moderate Risk
155,Enterprise,Month to Month,Northeast,23,63.52,1,0,82.1,8.4,44,0,0.26,0,762.24,1460.96,0,0,0,0,0,0,0,Moderate Risk
156,Enterprise,Two Year,Northeast,51,318.1,3,0,74.71,7.3,86,10,0.06000000000000001,0,3817.2,16223.1,0,0,0,1,0,0,1,Low Risk
157,Small Business,Annual,Northeast,63,260.47,2,0,100,8.3,109,0,0.14,1,3125.64,16409.61,3125.64,0,0,1,0,0,1,Low Risk
158,Small Business,Two Year,Northeast,19,197.01,2,1,73.54,6.2,51,5,0.12000000000000001,0,2364.12,3743.19,0,0,0,1,0,0,1,Low Risk
159,Small Business,Month to Month,Midwest,9,138.54,3,2,55.21,4.7,27,15,0.53,1,1662.48,1246.86,1662.48,0,1,0,0,0,1,High Risk
160,Enterprise,Annual,West,35,106.69,1,0,87.6,7,19,5,0.08,0,1280.28,3734.15,0,0,0,0,0,0,0,Low Risk
161,Consumer,Two Year,West,36,206.26,3,2,93.78,6.3,69,5,0.12000000000000001,1,2475.12,7425.36,2475.12,0,0,1,0,0,1,Low Risk
162,Mid Market,Two Year,West,46,139.79,1,1,90.27,10,1,0,0.02,0,1677.48,6430.34,0,0,0,0,0,0,0,Low Risk
163,Mid Market,Month to Month,Midwest,59,108.65,5,1,55.64,7.6,65,15,0.42,0,1303.8,6410.35,0,0,0,1,1,0,2,High Risk
164,Small Business,Two Year,Midwest,42,210.97,1,2,62.09,8.5,72,20,0.06000000000000001,0,2531.64,8860.74,0,0,0,1,0,0,1,Low Risk
165,Mid Market,Month to Month,Northeast,41,109.88,2,1,71.39,7.4,43,5,0.2,0,1318.56,4505.08,0,0,0,0,0,0,0,Moderate Risk
166,Small Business,Month to Month,South,64,136.76,1,2,70.1,4.8,34,10,0.35000000000000003,0,1641.12,8752.64,0,0,1,0,0,0,1,Moderate Risk
167,Mid Market,Two Year,West,55,301.95,1,0,74.91,5.4,106,5,0.20999999999999996,0,3623.4,16607.25,0,0,1,1,0,0,2,Moderate Risk
168,Small Business,Month to Month,Midwest,45,261.39,3,0,58.37,9.7,75,5,0.32,1,3136.68,11762.55,3136.68,0,0,1,0,0,1,Moderate Risk
169,Small Business,Month to Month,Northeast,31,207.99,1,2,44.56,4.9,100,0,0.6900000000000001,0,2495.88,6447.69,0,1,1,1,0,0,3,Critical Risk
170,Small Business,Annual,Northeast,51,248.81,1,2,71.94,6.7,82,5,0.14,0,2985.72,12689.31,0,0,0,1,0,0,1,Low Risk
171,Enterprise,Month to Month,West,52,255.43,3,0,38.56,7.8,21,5,0.36000000000000004,0,3065.16,13282.36,0,1,0,0,0,0,1,Moderate Risk
172,Mid Market,Annual,West,36,82.54,3,0,77.99,7.3,119,10,0.2,0,990.48,2971.44,0,0,0,1,0,0,1,Moderate Risk
173,Mid Market,Month to Month,Northeast,61,175.51,3,0,39.02,7.2,108,0,0.48000000000000004,1,2106.12,10706.11,2106.12,1,0,1,0,0,2,High Risk
174,Mid Market,Month to Month,Midwest,68,188.48,2,2,67.11,9.2,70,15,0.32,0,2261.76,12816.64,0,0,0,1,0,0,1,Moderate Risk
175,Mid Market,Month to Month,Midwest,40,248.73,4,0,75.19,7.7,100,0,0.42,0,2984.76,9949.2,0,0,0,1,1,0,2,High Risk
176,Small Business,Month to Month,Midwest,34,111.83,0,2,93.12,4.9,1,15,0.41000000000000003,0,1341.96,3802.22,0,0,1,0,0,0,1,High Risk
177,Enterprise,Month to Month,South,62,168.32,1,1,84.51,6.9,107,0,0.32,0,2019.84,10435.84,0,0,0,1,0,0,1,Moderate Risk
178,Mid Market,Month to Month,West,44,182.69,3,1,42.29,5,77,0,0.6300000000000001,0,2192.28,8038.36,0,1,1,1,0,0,3,Critical Risk
179,Enterprise,Month to Month,West,37,200.07,2,2,67.23,5.9,71,0,0.47000000000000003,0,2400.84,7402.59,0,0,1,1,0,0,2,High Risk
