applicant_id,age,annual_income,credit_score,loan_amount,employment_length_years,existing_debt,number_of_open_accounts,missed_payments_last_12_months,credit_utilization,loan_purpose,home_ownership,debt_to_income_ratio,loan_to_income_ratio,credit_score_band,income_band,default_probability,defaulted,loan_value_at_risk,dti_risk_flag,utilization_risk_flag,missed_payment_risk_flag,low_credit_score_flag,high_loan_to_income_flag,total_risk_flags,risk_band,approval_recommendation
82,49,58040.08,547,23001.15,26,23443.73,16,0,0.57,Small Business,Mortgage,0.404,0.396,Poor,40K to 75K,0.35000000000000003,0,0,0,0,0,1,0,1,High Risk,High Risk Review
83,36,102148.79,581,14883.7,10,19199.73,4,1,0.4,Small Business,Rent,0.188,0.146,Fair,75K to 120K,0.26,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
84,57,77002.05,577,17865.25,26,23366.89,15,1,0.67,Debt Consolidation,Rent,0.303,0.232,Poor,75K to 120K,0.33,1,17865.25,0,0,0,1,0,1,High Risk,High Risk Review
85,48,41423.14,707,29260.92,15,17247.47,17,1,0.587,Debt Consolidation,Rent,0.416,0.706,Good,40K to 75K,0.15,0,0,0,0,0,0,1,1,Moderate Risk,Approve with Review
86,66,57025.26,659,16655.45,17,28866.85,12,0,0.351,Home Improvement,Rent,0.506,0.292,Fair,40K to 75K,0.33000000000000007,1,16655.45,1,0,0,1,0,2,High Risk,High Risk Review
87,25,70361.88,753,15498.45,21,24303.57,8,1,0.434,Small Business,Rent,0.345,0.22,Very Good,40K to 75K,0.04000000000000003,0,0,0,0,0,0,0,0,Low Risk,Approve
88,48,29249.04,694,23574.96,22,14925.86,9,1,0.451,Debt Consolidation,Rent,0.51,0.806,Good,Under 40K,0.29000000000000004,0,0,1,0,0,0,1,2,Moderate Risk,Approve with Review
89,22,38892.65,695,11698.24,25,27191.02,1,0,0.146,Debt Consolidation,Mortgage,0.699,0.301,Good,Under 40K,0.14,0,0,1,0,0,0,0,1,Low Risk,Approve
90,38,116445.4,652,35413.77,8,21663.32,6,0,0.109,Small Business,Rent,0.186,0.304,Fair,75K to 120K,0.3,1,35413.77,0,0,0,1,0,1,High Risk,High Risk Review
91,44,54541.91,712,13489.82,25,7094.63,2,1,0.599,Auto,Mortgage,0.13,0.247,Good,40K to 75K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
92,69,96458.65,684,20841.04,21,17756.87,8,2,0.531,Home Improvement,Own,0.184,0.216,Good,75K to 120K,0.13,0,0,0,0,1,0,0,1,Low Risk,Approve
93,38,109152.26,712,23072.7,12,14049.75,10,2,0.15,Small Business,Own,0.129,0.211,Good,75K to 120K,0.2,0,0,0,0,1,0,0,1,Moderate Risk,Approve with Review
94,25,34509.65,733,1000,15,48432.1,10,2,0.343,Debt Consolidation,Mortgage,1.403,0.029,Good,Under 40K,0.30000000000000004,0,0,1,0,1,0,0,2,High Risk,High Risk Review
95,66,152219.2,529,30283.68,9,16765.68,9,2,0.155,Debt Consolidation,Own,0.11,0.199,Poor,120K Plus,0.44999999999999996,1,30283.68,0,0,1,1,0,2,High Risk,High Risk Review
96,60,84400.01,607,51985.23,17,21191.45,5,0,0.109,Debt Consolidation,Own,0.251,0.616,Fair,75K to 120K,0.21000000000000002,0,0,0,0,0,1,1,2,Moderate Risk,Manual Underwriting Review
97,60,113563.79,790,9649.04,11,27688.52,8,1,0.654,Small Business,Own,0.244,0.085,Very Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
98,41,52456.33,646,33440.9,7,21441.58,4,0,0.368,Home Improvement,Mortgage,0.409,0.637,Fair,40K to 75K,0.28,0,0,0,0,0,1,1,2,Moderate Risk,Manual Underwriting Review
99,56,30988.81,750,14028.11,7,0,10,0,0.235,Small Business,Mortgage,0,0.453,Very Good,Under 40K,0.13,0,0,0,0,0,0,1,1,Low Risk,Approve
100,56,95669.56,664,10517.6,19,13023.2,12,0,0.607,Personal,Rent,0.136,0.11,Fair,75K to 120K,0.19000000000000003,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
101,59,71458.39,752,47206.31,12,22069.75,3,3,0.345,Personal,Rent,0.309,0.661,Very Good,40K to 75K,0.23,0,0,0,0,1,0,1,2,Moderate Risk,Manual Underwriting Review
102,62,116758.65,756,41969.04,7,24404.99,12,0,0.582,Personal,Own,0.209,0.359,Very Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
103,38,32828.59,681,19540.26,19,29378.15,16,1,0.253,Debt Consolidation,Rent,0.895,0.595,Good,Under 40K,0.29000000000000004,0,0,1,0,0,0,1,2,Moderate Risk,Approve with Review
104,47,112773.61,662,61710.18,8,12466.17,9,2,0.143,Personal,Rent,0.111,0.547,Fair,75K to 120K,0.49000000000000005,0,0,0,0,1,1,1,3,High Risk,High Risk Review
105,33,71107.31,637,1000,9,24862.11,3,2,0.32,Debt Consolidation,Mortgage,0.35,0.014,Fair,40K to 75K,0.34,0,0,0,0,1,1,0,2,High Risk,High Risk Review
106,39,18000,729,6700.41,25,23496.34,14,0,0.657,Personal,Mortgage,1.305,0.372,Good,Under 40K,0.14,0,0,1,0,0,0,0,1,Low Risk,Approve
107,52,102071.39,680,17344.18,1,26145.16,17,0,0.278,Personal,Rent,0.256,0.17,Good,75K to 120K,0.16999999999999998,0,0,0,0,0,0,0,0,Moderate Risk,Approve with Review
108,36,84703.88,584,24659.43,17,11526.72,10,2,0.18,Debt Consolidation,Mortgage,0.136,0.291,Fair,75K to 120K,0.30000000000000004,0,0,0,0,1,1,0,2,High Risk,High Risk Review
109,49,62667.09,850,19547.5,25,10075.5,2,1,0.315,Small Business,Own,0.161,0.312,Excellent,40K to 75K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
110,37,40796.84,599,26198.97,23,35792.54,8,2,0.462,Debt Consolidation,Rent,0.877,0.642,Fair,40K to 75K,0.5900000000000001,1,26198.97,1,0,1,1,1,4,Critical Risk,Decline or Require Strong Mitigation
111,64,72025.72,681,27666.14,4,61550,1,1,0.496,Debt Consolidation,Mortgage,0.855,0.384,Good,40K to 75K,0.18000000000000002,0,0,1,0,0,0,0,1,Moderate Risk,Approve with Review
112,29,61644.53,628,18482.02,2,2642.63,8,1,0.133,Debt Consolidation,Own,0.043,0.3,Fair,40K to 75K,0.15000000000000002,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
113,41,76674.98,711,30454.22,15,40981.51,17,1,0.393,Auto,Mortgage,0.534,0.397,Good,75K to 120K,0.14,0,0,1,0,0,0,0,1,Low Risk,Approve
114,63,89350.78,548,7417.1,24,48530.45,13,1,0.167,Personal,Rent,0.543,0.083,Poor,75K to 120K,0.47000000000000003,0,0,1,0,0,1,0,2,High Risk,High Risk Review
115,68,85578.97,745,12172.34,5,18740.78,7,0,0.437,Home Improvement,Mortgage,0.219,0.142,Very Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
116,28,71535.53,692,35889.13,28,26857.98,3,1,0.183,Debt Consolidation,Mortgage,0.375,0.502,Good,40K to 75K,0.1,0,0,0,0,0,0,1,1,Low Risk,Approve
117,49,89601.92,765,11311.2,2,31561.08,16,0,0,Auto,Mortgage,0.352,0.126,Very Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
118,58,96838.96,743,31435.03,1,13327.79,4,0,0.562,Auto,Mortgage,0.138,0.325,Very Good,75K to 120K,0.039999999999999994,0,0,0,0,0,0,0,0,Low Risk,Approve
119,21,48208.92,729,13974.37,30,10509.46,10,3,0,Debt Consolidation,Own,0.218,0.29,Good,40K to 75K,0.13,0,0,0,0,1,0,0,1,Low Risk,Approve
120,33,37391.18,658,13544.26,22,7359.57,10,0,0.517,Personal,Rent,0.197,0.362,Fair,Under 40K,0.19000000000000003,0,0,0,0,0,1,0,1,Moderate Risk,Approve with Review
121,34,18000,677,31411.95,14,28244.73,10,1,0.568,Home Improvement,Rent,1.569,1.745,Good,Under 40K,0.29000000000000004,0,0,1,0,0,0,1,2,Moderate Risk,Manual Underwriting Review
122,25,103543.3,689,5779.81,9,22201.51,16,1,0.61,Home Improvement,Mortgage,0.214,0.056,Good,75K to 120K,0.04,0,0,0,0,0,0,0,0,Low Risk,Approve
123,29,128593.88,662,31906.73,13,44073.02,11,0,0.461,Debt Consolidation,Mortgage,0.343,0.248,Fair,120K Plus,0.14,0,0,0,0,0,1,0,1,Low Risk,Approve
124,36,91934.6,626,5433.46,16,4239.02,12,0,0.513,Debt Consolidation,Rent,0.046,0.059,Fair,75K to 120K,0.19000000000000003,1,5433.46,0,0,0,1,0,1,Moderate Risk,Approve with Review
125,46,95256.16,637,31311.29,14,34235.01,15,1,0.547,Personal,Mortgage,0.359,0.329,Fair,75K to 120K,0.14,0,0,0,0,0,1,0,1,Low Risk,Approve
126,63,127588.88,727,23308.58,21,23690.33,18,1,0.286,Auto,Mortgage,0.186,0.183,Good,120K Plus,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
127,62,91914.99,756,23729.38,27,26807.5,7,1,0.482,Debt Consolidation,Mortgage,0.292,0.258,Very Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
128,62,98190.15,603,32540.25,1,25848.38,5,0,0.574,Small Business,Mortgage,0.263,0.331,Fair,75K to 120K,0.33,0,0,0,0,0,1,0,1,High Risk,High Risk Review
129,53,42686.91,729,24969.18,4,35837.74,11,0,0.091,Home Improvement,Rent,0.84,0.585,Good,40K to 75K,0.33,1,24969.18,1,0,0,0,1,2,High Risk,High Risk Review
130,49,76230.31,617,32094.65,5,24966.54,4,1,0.134,Personal,Rent,0.328,0.421,Fair,75K to 120K,0.33,1,32094.65,0,0,0,1,1,2,High Risk,High Risk Review
131,45,44007.56,781,19222,19,0,16,0,0.362,Debt Consolidation,Rent,0,0.437,Very Good,40K to 75K,0.07,0,0,0,0,0,0,1,1,Low Risk,Approve
132,71,101107.14,598,24970.15,17,18274.89,5,2,0.353,Personal,Mortgage,0.181,0.247,Fair,75K to 120K,0.30000000000000004,0,0,0,0,1,1,0,2,High Risk,High Risk Review
133,52,87015.41,719,20917.97,30,0,10,1,0,Debt Consolidation,Mortgage,0,0.24,Good,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
134,37,18000,711,20804.28,25,21220.82,3,1,0.219,Debt Consolidation,Own,1.179,1.156,Good,Under 40K,0.21000000000000002,1,20804.28,1,0,0,0,1,2,Moderate Risk,Approve with Review
135,66,110845.09,631,44836.96,18,7561.32,1,0,0.424,Small Business,Mortgage,0.068,0.405,Fair,75K to 120K,0.31000000000000005,0,0,0,0,0,1,1,2,High Risk,High Risk Review
136,34,80599.69,667,2110.21,7,27095.96,15,0,0.521,Small Business,Rent,0.336,0.026,Fair,75K to 120K,0.3,0,0,0,0,0,1,0,1,High Risk,High Risk Review
137,67,112574.24,564,36845.74,3,39002.91,17,0,0.337,Debt Consolidation,Mortgage,0.346,0.327,Poor,75K to 120K,0.32,1,36845.74,0,0,0,1,0,1,High Risk,High Risk Review
138,26,108091.14,650,18910.46,19,6530.1,13,1,0.774,Small Business,Mortgage,0.06,0.175,Fair,75K to 120K,0.33000000000000007,0,0,0,1,0,1,0,2,High Risk,High Risk Review
139,67,124323.64,639,28001.1,9,20465.23,4,2,0.55,Debt Consolidation,Rent,0.165,0.225,Fair,120K Plus,0.39,1,28001.1,0,0,1,1,0,2,High Risk,High Risk Review
140,63,80896.24,831,5131.98,26,18178.5,14,1,0.295,Debt Consolidation,Rent,0.225,0.063,Excellent,75K to 120K,0.01,0,0,0,0,0,0,0,0,Low Risk,Approve
141,57,18000,707,8009.56,28,22180.72,1,1,0.209,Debt Consolidation,Mortgage,1.232,0.445,Good,Under 40K,0.24000000000000002,0,0,1,0,0,0,1,2,Moderate Risk,Approve with Review
142,36,91213.75,688,12960.87,7,36567.96,5,1,0.548,Auto,Mortgage,0.401,0.142,Good,75K to 120K,0.04,0,0,0,0,0,0,0,0,Low Risk,Approve
